Recepcion;Factura
RA-6576;27436
RA-5845;10419
RA-1013;181668
RA-4504;183240
RA-2856;183689
RA-4975;183695
RA-4975;183765
RA-1670;183775
RA-5088;183776
RA-6237;183874
RA-4830;11976
RA-5952;11979
RA-6059;11981
RA-6623;291648
RA-5976;47055
RA-3428;47954
