Recepcion;Orden de compra;Folio;Tipo DTE SII Acepta;Fecha Emisión;Fecha de Vencimiento;Periodo;Url;Estado del Documento en Compras;Monto Neto;Monto IVA;Monto Total
RA-5916;OC-MONTT3968;195417;1;18/06/2026;18/07/2026;143;https://windte2606.acepta.com/v01/B1B356140C0272653451EBE1B4A4106CF748BF71;1;345330;65613;410943
RA-5976;OC-MONTT4163;47055;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/0BF1E7860A8255DA0A8B800EE5552346336EE92E;1;1331596;253003;1584599
RA-6683;OC-MONTT4434;33658;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/91780E6F2A79545B48B86DEEC1F4C6293DF5119F;1;296000;56240;352240
RA-6622;OC-MONTT4456;12172;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/928AE302E9B54AF570BEF184E2C5264B6EEB1AD2;1;424220;80602;504822
RA-6693;OC-MONTT3561;7220;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/6672AEFA8F56B099FB709CB6B39E18B14E824311;1;290100;55119;345219
RA-5553;OC-MONTT3945;2295618;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/FC518B6DB06D699022BFF6499BE6BEE39B5DDB85;1;97572;18539;116111
RA-6585;OC-MONTT4230;14169;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/A0D3729C375CEC834C579A248DB826FD80788CF9;1;117500;22325;139825
RA-5749;OC-MONTT4010;1126708;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/8BECE7E9EA594A101BE9EB6A94871C0AC5B0E0F2;1;37160;7250;45410
RA-5637;OC-MONTT4087;2295628;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/429E5546315DB89D99142402A0B7C73768B3D429;1;98091;18637;116728
RA-6043;OC-MONTT4134;772049;1;22/06/2026;22/07/2026;143;https://windte2606.acepta.com/v01/AD9FE7183005D8FF6184116F36BA92448C7C7BE2;1;870487;165393;1035880
RA-6660;OC-MONTT4261;670125;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/478697F38432384C514559AF597EA6CB19DEED62;1;65790;12500;78290
RA-7167;OC-MONTT4330;1343948;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/3201C12516700B514C467362D20EEA3ED699B6D6;1;345810;65704;411514
RA-6561;OC-MONTT4307;1343958;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/FA4B12554CC36025600FFC54F2D34E5DDAF86767;1;19848;3771;23619
RA-6624;OC-MONTT4308;1259852;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/33F0950403C9C70FCC69C7337C44216D303A9E12;1;3105395;590025;3695420
RA-6592;OC-MONTT4400;1259970;1;27/06/2026;27/07/2026;143;https://windte2606.acepta.com/v01/24B0B4F1AAAFDDD89894B04F32E1EB4B5F2DEF05;1;1000164;190031;1190195
RA-6629;OC-MONTT4393;578243;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/00807316BA9457D624E04B88D982F00272528967;1;27500;5225;32725
RA-6666;OC-MONTT3685;578298;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/16C6800ED731F460180E19D125B91AE7F4F375F7;1;55000;10450;65450
RA-5671;OC-MONTT3561;7220;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/6672AEFA8F56B099FB709CB6B39E18B14E824311;1;290100;55119;345219
RA-5404;OC-MONTT3945;2295618;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/FC518B6DB06D699022BFF6499BE6BEE39B5DDB85;1;97572;18539;116111
RA-4504;OC-MONTT3008;183240;1;19/05/2026;19/05/2026;143;https://windte2606.acepta.com/v01/2EE762E7AC0F5BD0341550CF2ABC85F3FFD2CBF6;1;238044;45228;283272
RA-6980;OC-MONTT4154;85893;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/6E50A1BE20C768AD4CED0B7FB1E2CE3C894E911C;1;530200;110808;694008
RA-7165;OC-MONTT4315;426992;1;30/06/2026;30/07/2026;143;https://windte2606.acepta.com/v01/51AC3D2DF5A595899E388855A49137E91283FD95;1;900000;171000;1071000
RA-7130;OC-MONTT3426;673;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/1611798D4450C8AEC7FBA41A12CC6481960C0474;1;396500;75335;471835
RA-7049;OC-MONTT4207;2575720;1;25/06/2026;25/07/2026;143;https://windte2606.acepta.com/v01/8891CA2FFCC1D18EA607CC25301EAF44D32CDC3A;1;59980;11396;71376
RA-6983;OC-MONTT4153;453533;1;26/06/2026;26/07/2026;143;https://windte2606.acepta.com/v01/131AD019FA431CCEEE680449520ADC3E4BADAE8B;1;3255000;618450;3873450
RA-5375;OC-MONTT3546;807923;1;18/06/2026;18/07/2026;143;https://windte2606.acepta.com/v01/FF261DD9DAD0571300D26D931A2166036FF3A9E8;1;20906414;3972219;24878633
